GPSTime,X-ECEF,Y-ECEF,Z-ECEF,VX-ECEF,VY-ECEF,VZ-ECEF
372658.100000,3509420.529000,779147.277000,5250975.031000,0.005000,-0.009000,-0.001000
372658.110000,3509420.529050,779147.276910,5250975.030990,0.005050,-0.008987,-0.001046
372658.120000,3509420.529101,779147.276820,5250975.030980,0.005094,-0.008963,-0.001003
372658.130000,3509420.529152,779147.276731,5250975.030969,0.005132,-0.008946,-0.001028
372658.140000,3509420.529203,779147.276641,5250975.030959,0.005120,-0.008965,-0.001060
372658.150000,3509420.529255,779147.276551,5250975.030949,0.005183,-0.009010,-0.000980
372658.160000,3509420.529307,779147.276462,5250975.030938,0.005147,-0.008900,-0.001078
372658.170000,3509420.529358,779147.276372,5250975.030928,0.005084,-0.008974,-0.001102
372658.180000,3509420.529409,779147.276282,5250975.030917,0.005137,-0.009061,-0.000990
372658.190000,3509420.529460,779147.276192,5250975.030907,0.005072,-0.009032,-0.001098
372658.200000,3509420.529510,779147.276101,5250975.030895,0.005057,-0.009029,-0.001172
372658.210000,3509420.529561,779147.276011,5250975.030884,0.005086,-0.008981,-0.001078
372658.220000,3509420.529612,779147.275922,5250975.030873,0.005112,-0.008884,-0.001169
372658.230000,3509420.529663,779147.275833,5250975.030861,0.005089,-0.008977,-0.001130
372658.240000,3509420.529715,779147.275743,5250975.030850,0.005189,-0.008961,-0.001049
372658.250000,3509420.529767,779147.275654,5250975.030839,0.005227,-0.008944,-0.001235
372658.260000,3509420.529819,779147.275564,5250975.030826,0.005281,-0.009053,-0.001326
372658.270000,3509420.529872,779147.275473,5250975.030813,0.005316,-0.009093,-0.001297
372658.280000,3509420.529925,779147.275382,5250975.030799,0.005344,-0.009009,-0.001447
372658.290000,3509420.529979,779147.275292,5250975.030785,0.005360,-0.009121,-0.001393
372658.300000,3509420.530033,779147.275201,5250975.030772,0.005497,-0.009112,-0.001324
372658.310000,3509420.530088,779147.275110,5250975.030758,0.005391,-0.009060,-0.001417
372658.320000,3509420.530141,779147.275019,5250975.030744,0.005347,-0.009038,-0.001376
372658.330000,3509420.530196,779147.274929,5250975.030730,0.005517,-0.008957,-0.001402
372658.340000,3509420.530250,779147.274840,5250975.030715,0.005419,-0.008912,-0.001552
372658.350000,3509420.530304,779147.274751,5250975.030700,0.005352,-0.008950,-0.001588
372658.360000,3509420.530358,779147.274661,5250975.030684,0.005421,-0.008968,-0.001506
372658.370000,3509420.530412,779147.274572,5250975.030669,0.005295,-0.008887,-0.001502
372658.380000,3509420.530465,779147.274483,5250975.030654,0.005333,-0.008843,-0.001501
372658.390000,3509420.530518,779147.274394,5250975.030639,0.005357,-0.008943,-0.001432
372658.400000,3509420.530571,779147.274305,5250975.030625,0.005238,-0.008884,-0.001460
372658.410000,3509420.530624,779147.274216,5250975.030610,0.005284,-0.009004,-0.001512
372658.420000,3509420.530677,779147.274126,5250975.030595,0.005326,-0.008855,-0.001553
372658.430000,3509420.530730,779147.274038,5250975.030579,0.005259,-0.008810,-0.001584
372658.440000,3509420.530783,779147.273950,5250975.030563,0.005295,-0.008873,-0.001643
372658.450000,3509420.530836,779147.273861,5250975.030546,0.005350,-0.008830,-0.001640
372658.460000,3509420.530889,779147.273773,5250975.030530,0.005311,-0.008717,-0.001667
372658.470000,3509420.530943,779147.273686,5250975.030513,0.005351,-0.008815,-0.001648
372658.480000,3509420.530997,779147.273597,5250975.030497,0.005473,-0.008864,-0.001625
372658.490000,3509420.531051,779147.273509,5250975.030481,0.005421,-0.008838,-0.001642
372658.500000,3509420.531105,779147.273419,5250975.030465,0.005425,-0.009003,-0.001588
372658.510000,3509420.531160,779147.273330,5250975.030449,0.005443,-0.008964,-0.001563
372658.520000,3509420.531214,779147.273241,5250975.030433,0.005430,-0.008836,-0.001640
372658.530000,3509420.531269,779147.273152,5250975.030416,0.005546,-0.008826,-0.001622
372658.540000,3509420.531325,779147.273064,5250975.030400,0.005647,-0.008831,-0.001569
372658.550000,3509420.531381,779147.272976,5250975.030385,0.005601,-0.008803,-0.001599
372658.560000,3509420.531437,779147.272887,5250975.030369,0.005622,-0.008899,-0.001617
372658.570000,3509420.531494,779147.272799,5250975.030352,0.005681,-0.008763,-0.001649
372658.580000,3509420.531550,779147.272711,5250975.030336,0.005608,-0.008803,-0.001693
372658.590000,3509420.531606,779147.272623,5250975.030318,0.005621,-0.008806,-0.001724
372658.600000,3509420.531663,779147.272535,5250975.030301,0.005648,-0.008766,-0.001736
372658.610000,3509420.531719,779147.272448,5250975.030284,0.005556,-0.008757,-0.001761
372658.620000,3509420.531774,779147.272360,5250975.030266,0.005587,-0.008801,-0.001741
372658.630000,3509420.531830,779147.272272,5250975.030249,0.005594,-0.008819,-0.001753
372658.640000,3509420.531886,779147.272183,5250975.030230,0.005546,-0.008868,-0.001961
